TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
7.04106e-08 1.95617e-06 1.00197e-05 1.20463e-05 5636.79
7.29893e-08 2.05613e-06 1.02941e-05 1.24232e-05 5648.31
7.56206e-08 2.15954e-06 1.05715e-05 1.28067e-05 5659.71
7.83045e-08 2.26645e-06 1.08518e-05 1.31966e-05 5671
8.1041e-08 2.37692e-06 1.1135e-05 1.3593e-05 5682.17
8.38302e-08 2.49099e-06 1.1421e-05 1.39958e-05 5693.24
8.66723e-08 2.60873e-06 1.17098e-05 1.44052e-05 5704.21
8.95671e-08 2.7302e-06 1.20014e-05 1.48212e-05 5715.07
9.25149e-08 2.85543e-06 1.22958e-05 1.52437e-05 5725.83
9.55156e-08 2.9845e-06 1.25928e-05 1.56728e-05 5736.49
9.85692e-08 3.11745e-06 1.28925e-05 1.61085e-05 5747.05
1.01676e-07 3.25434e-06 1.31948e-05 1.65508e-05 5757.52
1.04836e-07 3.39521e-06 1.34997e-05 1.69998e-05 5767.9
1.08048e-07 3.54013e-06 1.38072e-05 1.74554e-05 5778.19
1.11314e-07 3.68914e-06 1.41172e-05 1.79177e-05 5788.39
1.14633e-07 3.84229e-06 1.44298e-05 1.83867e-05 5798.5
1.18006e-07 3.99965e-06 1.47448e-05 1.88625e-05 5808.53
1.21431e-07 4.16125e-06 1.50623e-05 1.93449e-05 5818.47
1.2491e-07 4.32715e-06 1.53821e-05 1.98342e-05 5828.34
1.28441e-07 4.4974e-06 1.57044e-05 2.03302e-05 5838.12
1.32026e-07 4.67206e-06 1.6029e-05 2.08331e-05 5847.83
1.35665e-07 4.85116e-06 1.6356e-05 2.13428e-05 5857.46
1.39356e-07 5.03476e-06 1.66853e-05 2.18594e-05 5867.01
1.43101e-07 5.22291e-06 1.70168e-05 2.23828e-05 5876.49
1.46899e-07 5.41567e-06 1.73506e-05 2.29132e-05 5885.9
1.50751e-07 5.61306e-06 1.76866e-05 2.34504e-05 5895.24
1.54655e-07 5.81516e-06 1.80248e-05 2.39947e-05 5904.51
1.58613e-07 6.022e-06 1.83653e-05 2.45459e-05 5913.71
1.62625e-07 6.23363e-06 1.87078e-05 2.51041e-05 5922.84
1.66689e-07 6.4501e-06 1.90525e-05 2.56693e-05 5931.91
1.70807e-07 6.67146e-06 1.93993e-05 2.62416e-05 5940.92
1.74979e-07 6.89776e-06 1.97482e-05 2.68209e-05 5949.86
1.79203e-07 7.12903e-06 2.00991e-05 2.74074e-05 5958.74
1.83481e-07 7.36534e-06 2.04521e-05 2.80009e-05 5967.56
1.87813e-07 7.60672e-06 2.08071e-05 2.86017e-05 5976.32
1.92197e-07 7.85322e-06 2.11641e-05 2.92096e-05 5985.02
1.96635e-07 8.10489e-06 2.15231e-05 2.98247e-05 5993.66
2.01127e-07 8.36177e-06 2.18841e-05 3.0447e-05 6002.25
2.05672e-07 8.62391e-06 2.2247e-05 3.10766e-05 6010.78
2.1027e-07 8.89136e-06 2.26118e-05 3.17134e-05 6019.26
2.14922e-07 9.16416e-06 2.29785e-05 3.23576e-05 6027.69
2.19627e-07 9.44235e-06 2.33471e-05 3.30091e-05 6036.06
